team_id,team_name,conference,wins,losses,win_pct,avg_home_attendance,num_home_games,Logo Id,Color,AlternateColor,city,Location State,Location Latitude,Location Longitude,Location Capacity
367,Louisville,ACC,6,7,0.462,43966.0,7,97,#c9001f,#000000,Louisville,KY,38.2057621,-85.7588141,60000
415,Miami (FL),ACC,7,5,0.583,43698.0,7,2390,#005030,#f47321,Miami Gardens,FL,25.9579665,-80.2388604,64767
746,Virginia,ACC,6,6,0.5,42439.0,7,258,#232d4b,#f84c1e,Charlottesville,VA,38.0311801,-78.5137897,61500
128,UCF,AAC,9,4,0.692,40427.0,7,2116,#ba9b37,#000000,Orlando,FL,28.6079765,-81.1927233,44206
698,TCU,Big 12,5,7,0.417,39529.0,7,2628,#4d1979,#f1f2f3,Fort Worth,TX,32.7096604,-97.3680835,46000
392,Maryland,Big Ten,7,6,0.538,38069.0,7,120,#D5002B,#ffcd00,College Park,MD,38.9903332,-76.9473792,51802
255,Georgia Tech,ACC,3,9,0.25,37780.0,6,59,#003057,#b3a369,Atlanta,GA,33.7724449,-84.3928054,55000
107,California,Pac-12,5,7,0.417,37383.0,6,25,#031522,#ffc423,Berkeley,CA,37.8710434,-122.2507729,62467
140,Cincinnati,AAC,13,1,0.929,37338.0,7,2132,#E00122,#000000,Cincinnati,OH,39.1312495,-84.5161913,40000
196,East Carolina,AAC,7,5,0.583,36059.0,6,151,#4b1869,#f0907b,Greenville,NC,35.5968486,-77.364564,50000
674,Stanford,Pac-12,3,9,0.25,35684.0,6,24,#8c1515,#ffffff,Stanford,CA,37.4345556,-122.1611271,50424
301,Illinois,Big Ten,5,7,0.417,35347.0,7,356,#ff5f05,#13294b,Champaign,IL,40.0993268,-88.2359569,60670
29,Arizona,Pac-12,1,11,0.083,34900.0,6,12,#0c234b,#ab0520,Tucson,AZ,32.2288054,-110.9488677,50782
67,Boston College,ACC,6,6,0.5,34782.0,6,103,#8c2232,#dbcca6,Chestnut Hill,MA,42.335104,-71.1664413,44500
66,Boise State,Mountain West,7,5,0.583,34681.0,6,68,#0033a0,#fa4616,Boise,ID,43.6028839,-116.1958882,36387
651,USF,AAC,2,10,0.167,33468.0,6,58,#004A36,#231f20,Tampa,FL,27.9758691,-82.5033344,65828
96,Fresno State,Mountain West,10,3,0.769,33386.0,6,278,#db0032,#002e6d,Fresno,CA,36.8143527,-119.7580092,41031
688,Syracuse,ACC,5,7,0.417,32461.0,7,183,#ff6500,#000e54,Syracuse,NY,43.0362269,-76.1363161,49057
404,Memphis,AAC,6,6,0.5,31295.0,7,235,#004991,#8e908f,Memphis,TN,35.1209429,-89.977147,58325
726,Navy,AAC,4,8,0.333,31094.0,6,2426,#00225b,#b5a67c,Annapolis,MD,38.9846985,-76.5076335,34000
509,Northwestern,Big Ten,3,9,0.25,30679.0,6,77,#582c83,#ffffff,Evanston,IL,42.06,-87.68,14000
528,Oregon State,Pac-12,7,6,0.538,30524.0,6,204,#231f20,#d73f09,Corvallis,OR,44.5594559,-123.2814341,43363
27,Appalachian State,Sun Belt,10,4,0.714,29389.0,6,2026,#ffcc00,#222222,Boone,NC,36.2114267,-81.6854278,30000
749,Wake Forest,ACC,11,3,0.786,28721.0,6,154,#9E7E38,#000000,Winston-Salem,NC,36.1305507,-80.2545851,31500
725,Army,Independent,9,4,0.692,27263.0,6,349,#ce9c00,#231f20,West Point,NY,41.3874924,-73.9640891,38000
156,Colorado State,Mountain West,3,9,0.25,27096.0,6,36,#1e4d2b,#c8c372,Fort Collins,CO,40.570015,-105.088435,36500
706,UTSA,C-USA,12,2,0.857,26643.0,7,2636,#002A5C,#f47321,San Antonio,TX,29.4169834,-98.4788143,36582
328,Kansas,Big 12,2,10,0.167,26413.0,6,2305,#0051ba,#e8000d,Lawrence,KS,38.9629418,-95.2463686,47000
9,UAB,C-USA,9,4,0.692,25629.0,5,5,#003b28,#ffc845,Birmingham,AL,33.5206824,-86.8024326,0
288,Houston,AAC,12,2,0.857,25073.0,5,248,#c92a39,#ffffff,Houston,TX,29.7219885,-95.3491623,40000
716,Troy,Sun Belt,5,7,0.417,23668.0,6,2653,#AE0210,#88898c,Troy,AL,31.7995565,-85.9518328,30000
736,Vanderbilt,SEC,2,10,0.167,23458.0,7,238,#866d4b,#000000,Nashville,TN,36.1440455,-86.8088942,40351
664,Southern Miss,C-USA,3,9,0.25,23260.0,6,2572,#FFAA3C,#ffc423,Hattiesburg,MS,31.3289321,-89.3318118,36000
754,Washington State,Pac-12,7,6,0.538,23217.0,7,265,#981e32,#ffffff,Pullman,WA,46.731831,-117.1604991,32952
663,SMU,AAC,8,4,0.667,23171.0,6,2567,#354ca1,#cc0035,University Park,TX,32.8377223,-96.7827859,32000
721,Air Force,Mountain West,10,3,0.769,22831.0,6,2005,#004a7b,#ffffff,Colorado Springs,CO,38.9969701,-104.8436165,46692
671,Louisiana,Sun Belt,13,1,0.929,22493.0,7,309,#ce181e,#ffffff,Lafayette,LA,30.2158434,-92.0417371,41426
465,UNLV,Mountain West,2,10,0.167,22356.0,6,2439,#b10202,#ffffff,Las Vegas,NV,36.1672559,-115.1485163,65000
388,Marshall,C-USA,7,6,0.538,21742.0,6,276,#00ae42,#be854c,Huntington,WV,38.4247042,-82.4214412,38016
811,Wyoming,Mountain West,7,6,0.538,21625.0,6,2751,#492f24,#ffc425,Laramie,WY,41.31161,-105.5681384,29181
466,Nevada,Mountain West,8,5,0.615,21574.0,6,2440,#002d62,#ffffff,Reno,NV,39.5469459,-119.8175435,27000
690,Temple,AAC,3,9,0.25,21464.0,6,218,#A80532,#a7a9ac,Philadelphia,PA,39.9007995,-75.1675414,69879
731,Utah State,Mountain West,11,3,0.786,21378.0,6,328,#00263a,#949ca1,Logan,UT,41.7517394,-111.8116007,25513
229,Florida Atlantic,C-USA,5,7,0.417,18826.0,6,2226,#00447c,#d31245,Boca Raton,FL,26.3763763,-80.1015759,29419
574,Rice,C-USA,4,8,0.333,18613.0,6,242,#d1d5d8,#003d7d,Houston,TX,29.7163297,-95.4093261,47000
709,Toledo,MAC,7,6,0.538,18436.0,6,2649,#0a2240,#ffcd00,Toledo,OH,41.6574777,-83.6135652,26038
670,Texas State,Sun Belt,4,8,0.333,17686.0,6,326,#4e1719,#b4975a,San Marcos,TX,29.8910008,-97.9255735,30000
519,Ohio,MAC,3,9,0.25,17626.0,6,195,#295A29,#e4bb85,Athens,OH,39.3212794,-82.1034315,24000
355,Liberty,Independent,8,5,0.615,17608.0,6,2335,#071740,#a61f21,Lynchburg,VA,37.3544305,-79.1750239,25000
704,UTEP,C-USA,7,6,0.538,16812.0,6,2638,#ff8200,#041e42,El Paso,TX,31.7733353,-106.507957,51500
253,Georgia Southern,Sun Belt,3,9,0.25,16761.0,6,290,#003775,#f0f0f0,Statesboro,GA,32.4122471,-81.7849296,25000
497,North Texas,C-USA,6,7,0.462,16669.0,6,249,#00853E,#000000,Denton,TX,33.203899,-97.159245,30850
772,Western Kentucky,C-USA,9,5,0.643,16485.0,6,98,#F32026,#b3b5b8,Bowling Green,KY,36.9847901,-86.4594041,22113
473,New Mexico,Mountain West,3,9,0.25,16332.0,6,167,#BA0C2F,#a7a8aa,Albuquerque,NM,35.0669479,-106.6283225,39224
646,South Alabama,Sun Belt,5,7,0.417,16083.0,6,6,#00205B,#BF0D3E,Mobile,AL,30.6943566,-88.0430541,25450
719,Tulsa,AAC,7,6,0.538,16076.0,6,202,#003595,#d0b787,Tulsa,OK,36.1489175,-95.9437853,30000
523,Old Dominion,C-USA,6,7,0.462,15966.0,6,295,#00507d,#a1d2f1,Norfolk,VA,36.8889533,-76.3049175,20118
630,San Jose State,Mountain West,5,7,0.417,15447.0,6,23,#005893,#fdba31,San Jose,CA,37.3196675,-121.8682962,30456
193,Duke,ACC,3,9,0.25,15424.0,7,150,#013088,#ffffff,Durham,NC,35.9953688,-78.9417564,40004
71,Bowling Green,MAC,4,8,0.333,15260.0,6,189,#2b1000,#492000,Bowling Green,OH,41.3780114,-83.6225,24000
149,Coastal Carolina,Sun Belt,11,2,0.846,15241.0,7,324,#007073,#876447,Conway,SC,33.7928506,-79.0166946,21000
86,Buffalo,MAC,4,8,0.333,15129.0,6,2084,#041A9B,#ebebeb,Amherst,NY,42.9991334,-78.7775113,30270
204,Eastern Michigan,MAC,7,6,0.538,15091.0,6,2199,#00331b,#f0f0f0,Ypsilanti,MI,42.256126,-83.647285,30200
254,Georgia State,Sun Belt,8,5,0.615,15074.0,6,2247,#1e539a,#ebebeb,Atlanta,GA,33.735267,-84.389949,25000
366,Louisiana Tech,C-USA,3,9,0.25,14822.0,6,2348,#002d65,#d3313a,Ruston,LA,32.5321487,-92.6560019,28019
164,Connecticut,Independent,1,11,0.083,14686.0,6,41,#0c2340,#f1f2f3,East Hartford,CT,41.7595675,-72.6187728,40000
718,Tulane,AAC,2,10,0.167,14574.0,6,2655,#006547,#468ac9,New Orleans,LA,29.944616,-90.116692,30000
129,Central Michigan,MAC,9,4,0.692,14462.0,6,2117,#6a0032,#ffc82e,Mount Pleasant,MI,43.5777313,-84.7709904,30255
774,Western Michigan,MAC,8,5,0.615,13690.0,6,2711,#532e1f,#8b7f79,Kalamazoo,MI,42.2860064,-85.6007573,30200
458,Charlotte,C-USA,5,7,0.417,13292.0,6,2429,#046A38,#B9975B,Charlotte,NC,35.3105033,-80.7401194,15300
498,Louisiana-Monroe,Sun Belt,4,8,0.333,13280.0,6,2433,#231F20,#b18445,Monroe,LA,32.5308089,-92.0660602,27617
331,Kent State,MAC,7,7,0.5,12778.0,5,2309,#003976,#efab00,Kent,OH,41.1390935,-81.31346,25319
419,Middle Tennessee State,C-USA,7,6,0.538,12351.0,5,2393,#006db6,#ffffff,Murfreesboro,TN,35.8511463,-86.3681649,30788
472,New Mexico State,Independent,2,10,0.167,11845.0,5,166,#891216,#000000,Las Cruces,NM,32.2796202,-106.7411148,28853
414,Miami (OH),MAC,7,6,0.538,11696.0,5,193,#a4000c,#f0f0f0,Oxford,OH,39.5197009,-84.7330255,24286
47,Ball State,MAC,6,7,0.462,11530.0,6,2050,#DA0000,#ffffff,Muncie,IN,40.2159422,-85.4161148,22500
30,Arkansas State,Sun Belt,2,10,0.167,11211.0,6,2032,#e81018,#000000,Jonesboro,AR,35.8488977,-90.6677436,30382
626,San Diego State,Mountain West,12,2,0.857,10675.0,8,21,#c41230,#000000,San Diego,CA,32.784444,-117.122833,35000
5,Akron,MAC,2,10,0.167,10194.0,6,2006,#00285e,#84754e,Akron,OH,41.0725534,-81.5083408,30000
503,Northern Illinois,MAC,9,5,0.643,9058.0,6,2459,#F1122C,#cc0000,DeKalb,IL,41.9339586,-88.7778357,23595
400,Massachusetts,Independent,1,11,0.083,8994.0,6,113,#971B2F,#B1B3B3,Hadley,MA,42.3773244,-72.5360595,17000
277,Hawaii,Mountain West,6,7,0.462,4605.0,3,62,#003420,#ffffff,Honolulu,HI,21.294294,-157.819338,9000
231,FIU,C-USA,1,11,0.083,,0,2229,#001538,#c5960c,Miami,FL,25.76,-80.38,20000
